trial,traded,breadth_gate,consensus_k,conviction_sizing,dd_sizer,edge_monitor,enter,exit_,feargreed,fng_min,horserace,hurst_gate,martingale,max_positions,meta_margin,micro_gate,min_age_days,min_hold,mom_gate,money_kelly,money_model,money_pyramid,position_fraction,regime_deploy,regime_persist,scale_enter,scale_in,stop_loss,sweep,trail_stop,tree_weight,trend_soft,vol_floor,vol_scale,profit_2018,profit_2019,profit_2020,profit_2021,profit_2022,profit_2023,profit_2024,profit_2025,fit_score,heldout_score,worst_drawdown,trades
30,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,7,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,0.4928240326081428,0.5781876878140453,0.783004766880308,8.430448710074387,0.03822253834462486,0.1466989077316747,0.265824899175922,0.006740014956251761,0.240247,0.155396,0.09864679590371506,5737
31,yes,0.3,1,0.0,0.0,0.0,0.75,0.3100600796592104,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.08463621348427397,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,2.113401432320691,0.47590457968081346,1.0796946489851655,98.11156797156698,0.07926750210123723,0.3530271475806104,0.7927998688099156,0.07095698752755597,0.274119,0.208957,0.20183247940353743,3907
32,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,39.530518669796265,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.9409753107038554,0.7341502759821772,1.0368992438425995,78.64926175737934,-0.024566102954177604,0.30001185433186417,0.7643721842023896,-0.01492365342888513,0.256259,0.160242,0.21961428653421855,3128
33,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.6820261955795573,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.7779528342110504,0.5336493830452975,1.2483440646694373,99.44497056588168,0.11699305236101076,0.3079610746896435,0.7516362377811139,-0.019125638951878243,0.27979,0.159999,0.21460480378853397,3694
34,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,5,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,0.7251700978077209,0.5366746414578123,0.9055822817071353,17.848409999562207,0.052860021883351704,0.20681391073587063,0.3695892266016867,0.004728123504882609,0.253177,0.171593,0.13038829724976408,5347
35,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.0966201304064217,0.0,0.12,0.0,0.0,0.4,0.0,1.8574677476208383,0.5693322513057624,1.2734188629116998,109.97547583123672,0.13715698284995748,0.3223164404728962,0.8024032386005089,-0.014209644345573591,0.283037,0.162507,0.19542982483415994,3683
36,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.05987763231929134,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.8845290528345706,0.5359925953950657,1.2902200569521258,99.19934564274331,0.11880950188739337,0.2959385217670407,0.7377591428934387,-0.034055089999288635,0.279648,0.150624,0.21962657878609326,3694
37,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.11985106242592847,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.2434326131978769,0.4,0.0,1.803110598138049,0.4091477716670946,1.0339715678237416,15.739534104649437,0.06809396032217951,0.1166682380466233,0.2027749038522182,-0.03030412723908782,0.240208,0.101466,0.1904792694175459,4845
38,yes,0.3,1,0.0,0.0,0.0,0.75,0.43810549280727934,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.968908035933765,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.6683797268568386,-0.026433483584925366,1.332580502674452,164.86684933178748,-0.0809087871359152,0.5558594962096355,1.0707733579646708,0.06640675363953541,0.157165,0.185666,0.2546214544476436,4474
39,no,0.3,2,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0
